Federal organization,Fiscal year,GHG source,GHG scope,Energy category,Energy use (GJ),Emissions (kt)
Public Safety Canada,2005-06,facilities,2,electricity,74155.10547,4.737689575
Public Safety Canada,2005-06,facilities,1,natural gas,44277.28613,2.169734573
Public Services and Procurement Canada,2005-06,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",7900.050326,0.554656589
Public Services and Procurement Canada,2005-06,fleet,1,natural gas,0.041352443,2.34E-06
Public Services and Procurement Canada,2005-06,facilities,2,district cooling,437587.4281,20.18255869
Public Services and Procurement Canada,2005-06,facilities,2,district heating,40553.20062,3.917437912
Public Services and Procurement Canada,2005-06,facilities,2,district heating,650328.6529,55.01714041
Public Services and Procurement Canada,2005-06,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",1543.325151,0.109563763
Public Services and Procurement Canada,2005-06,facilities,2,electricity,3136238.279,140.8216611
Public Services and Procurement Canada,2005-06,fleet,1,fuels with renewable content,408.0366626,0.025214636
Public Services and Procurement Canada,2005-06,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",111842.7223,7.961423823
Public Services and Procurement Canada,2005-06,facilities,1,natural gas,927609.1865,45.61075728
Public Services and Procurement Canada,2005-06,fleet,1,gasoline,20349.69455,1.354482335
Public Services and Procurement Canada,2005-06,facilities,1,liquified petroleum gas,6996.88512,0.42691564
Public Services and Procurement Canada,2005-06,fleet,1,liquified petroleum gas,64.0304206,0.003896823
Royal Canadian Mounted Police,2005-06,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",15412.14223,1.082074921
Royal Canadian Mounted Police,2005-06,fleet,1,natural gas,0.046162785,2.62E-06
Royal Canadian Mounted Police,2005-06,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",428.9293671,0.030669616
Royal Canadian Mounted Police,2005-06,facilities,2,electricity,549919.1333,72.76160567
Royal Canadian Mounted Police,2005-06,fleet,1,fuels with renewable content,1161.575744,7.10E-02
Royal Canadian Mounted Police,2005-06,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",57238.15241,4.275428977
Royal Canadian Mounted Police,2005-06,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",71584.39169,5.095670055
